Zipcode,Average Income
73860,4792.666667
73931,2169.5
73932,6723.333333
73933,5794.166667
73938,2499.166667
73939,4302.833333
73942,49415.66667
73944,1105.666667
73945,12232.66667
73947,1653.666667
73949,5531.833333
73950,7402
73951,3792.5
74002,7128
74003,41693.83333
74006,162870
74008,211759.3333
74010,36704.83333
74011,209415.5
74012,308312.6667
74014,234676
74015,41447.66667
74016,19624.33333
74017,118293.8333
74019,107420.5
74020,27646
74021,111770.1667
74022,6290.166667
74023,37447.5
74027,3027.166667
74028,6771.5
74029,18208
74030,11185.33333
74032,8242.833333
74033,55903.16667
74035,9418.333333
74036,32774.66667
74037,166556.8333
74038,6447.333333
74039,13314.66667
74041,12330.16667
74042,1560
74044,30135.83333
74045,1221
74047,33814.33333
74048,19214.33333
74051,7974.333333
74053,26141.83333
74054,1411.5
74055,315045.3333
74056,14459.5
74058,13049.66667
74059,24168.83333
74060,1506.333333
74061,11263
74062,2925.833333
74063,144246.5
74066,126126.5
74070,70779.16667
74072,7047.333333
74073,29912.5
74074,153281.8333
74075,81976
74079,15697.33333
74080,14200.16667
74081,5355.833333
74083,3732.666667
74084,1465.166667
74085,7990.333333
74103,13857.66667
74104,57331
74105,244690.3333
74106,33284.33333
74107,57472.66667
74108,20715
74110,25027.83333
74112,67011.33333
74114,203046.6667
74115,46085
74116,9298
74119,33308.33333
74120,34640
74126,18839.5
74127,47112.5
74128,32331.5
74129,49106.66667
74130,4530.166667
74131,14887.83333
74132,80315.16667
74133,278590.8333
74134,100583
74135,104878.8333
74136,187232.8333
74137,321775.6667
74145,64282.66667
74146,33689.83333
74301,35011.33333
74330,12192.5
74331,29599.16667
74332,6020
74333,3405.666667
74337,16656.5
74338,14957.83333
74339,5277.833333
74342,5673.166667
74343,9854.333333
74344,57259.66667
74346,23749.5
74347,10328.5
74352,20437.66667
74354,52493.83333
74359,1278.666667
74361,61371.66667
74363,8150.833333
74364,5171.333333
74365,13666
74366,3472.333333
74367,1684
74369,5547.166667
74370,10234.66667
74401,43114.16667
74403,102459.6667
74421,18840.66667
74422,2844
74423,3025.666667
74425,3323.166667
74426,27156.33333
74427,5951.666667
74428,3288.166667
74429,76076.83333
74432,35114.5
74434,40894.5
74435,11070.66667
74436,18457
74437,28096.83333
74441,16803.16667
74442,2410.833333
74445,11622.5
74447,43357.33333
74450,6207.666667
74451,16339.16667
74452,1700
74454,11907.66667
74455,8153.166667
74457,1737.333333
74462,22279.66667
74464,89412.66667
74467,44590.33333
74469,8245.166667
74470,4483
74471,4191.666667
74472,1741.166667
74501,91273.83333
74523,18819.33333
74525,27538.66667
74531,2706.166667
74533,2686.833333
74534,760.3333333
74536,4507.666667
74538,12724
74543,869.6666667
74547,9588.833333
74552,2133.333333
74553,4643.333333
74555,2285.166667
74557,1155.166667
74558,787
74560,1523.666667
74561,6073.666667
74562,2624.333333
74563,5087.5
